Primary Topic Id,,
name,count,
Telecommunications Infrastructure and Economic Development,6,
Media Framing and Agenda Setting in Communication,1,
Statistical Machine Translation and Natural Language Processing,1,
Data Stream Management Systems and Techniques,1,
Privacy-Preserving Techniques for Data Analysis and Machine Learning,1,
The Study of Economic Institutions and Behavior,1,
Factors Influencing Pro-environmental Behavior,1,
Logic Programming and Knowledge Representation,1,
Internet Users' Information Privacy Concerns,1,
Econophysics: Complexity in Financial Markets,1,
Impact of Big Data Analytics on Business Performance,1,
Management and Reproducibility of Scientific Workflows,1,
Dialogue Act Modeling for Spoken Language Systems,1,
Role of Public International Law in WTO Disputes,1,
The Impact of R&D Subsidies on Private R&D Investment,1,
Coopetition in Business Networks and Innovation,1,
American Political Thought and History,1,
Interdependence in Science and Society,1,
Physics of the Mind and Cognitive Science,1,
